Title,Company,Experience,Salary,Location,Skills,Link
Talent Acquisition Specialist,Clarion Technologies,6-8 Yrs,7-8 Lacs PA,Pune,"End To End Recruitment, Technical Recruitment, US Recruitment, US Staffing, IT Recruitment, us hiring, Recruitment, Technical",https://www.naukri.com/job-listings-talent-acquisition-specialist-clarion-technologies-pune-6-to-8-years-240325007272
Dot NET Developer,Synthesys Solutions,2-4 Yrs,Not disclosed,Pune,"Java, Dot Net, technical, developer, IT, DoT, .Net, Development",https://www.naukri.com/job-listings-dot-net-developer-synthesys-solutions-pvt-ltd-pune-2-to-4-years-240123501285
Dot Net Developer,Foray Software,4-12 Yrs,Not disclosed,Pune,"MS SQL, CSS, jQuery, Front end, Web technologies, devops, Javascript, Entity framework",https://www.naukri.com/job-listings-dot-net-developer-foray-software-pvt-ltd-pune-4-to-12-years-230824501581
MVC Dot Net Developer,Swift Technocraft,2-5 Yrs,Not disclosed,Pune,"PHP, dot, mvc, .net, development",https://www.naukri.com/job-listings-mvc-dot-net-developer-swift-technocrafts-pune-2-to-5-years-230922502191
Dot Net Developer,Talent Anywhere,2-6 Yrs,Not disclosed,Pune,"T-SQL, Development planning, MS SQL, Automation testing, Cloud Applications, html5, Javascript, Agile",https://www.naukri.com/job-listings-dot-net-developer-talent-anywhere-pune-2-to-6-years-221019501213
dot net Full Stack Developer,CODERS BRAIN,2-4 Yrs,Not disclosed,Pune,"jQuery, Front end, XML, Web development, Javascript, Agile, HTML, MVC",https://www.naukri.com/job-listings-dot-net-full-stack-developer-coders-brain-pvt-ltd-pune-2-to-4-years-250823500847
ASP Dot NET Developer,Hexonica,3-8 Yrs,Not disclosed,Pune,"HTML;Javascript, jQuery, Manager Quality Assurance, Web technologies, XML, Cloud, Manager Technology, ASP.Net",https://www.naukri.com/job-listings-asp-dot-net-developer-hexonica-pune-3-to-8-years-260220501848
Dot Net Team Lead,Softtech Engineers,3-6 Yrs,Not disclosed,Pune,"Access control, MS SQL, Automation, Architecture, Programming, Packaging, .Net, SSIS",https://www.naukri.com/job-listings-dot-net-team-lead-softtech-engineers-ltd-pune-3-to-6-years-260824501357
Dot Net core developer,G N Solutions,2-6 Yrs,Not disclosed,Pune,"Web technologies, Analytical, Windows application, Programming, Entity framework, ASP.Net, MVC, Troubleshooting",https://www.naukri.com/job-listings-dot-net-core-developer-g-n-solutions-pvt-ltd-pune-2-to-6-years-250724502361
Sr.Dot Net Developer,Webonise Lab,2-7 Yrs,Not disclosed,Pune,"Performance tuning, Coding, Database design, Debugging, Consulting, Javascript, HTML, Stored procedures",https://www.naukri.com/job-listings-sr-dot-net-developer-webonise-lab-pune-2-to-7-years-261124503294
Dot Net with C#,Ivitesse Technologies Pvt Ltd (RBG),2-5 Yrs,Not disclosed,Pune,"devops, jenkins, .Net, Perl, Troubleshooting, Sharepoint, Python, Scripting",https://www.naukri.com/job-listings-dot-net-with-c-ivitesse-technologies-pvt-ltd-rbg-pune-2-to-5-years-270224501452
Dot Net Developer,Diverse Lynx,7-12 Yrs,Not disclosed,Pune,"IIS, Web services, XML, Javascript, Agile, XSLT, WCF, MVC",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-pune-7-to-12-years-250722500992
Dot Net Developer,Diverse Lynx,2-6 Yrs,Not disclosed,Pune,"Web technologies, Visual Foxpro, Architecture, Agile, ASP.Net, Troubleshooting, SQL, .Net",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-pune-2-to-6-years-240521501311
Dot NET Developer (Cosmos DB),Rarr Technologies,3-10 Yrs,Not disclosed,Pune,"LINQ, Web technologies, C, Analytical, Cosmos, DoT, .Net, Development",https://www.naukri.com/job-listings-dot-net-developer-cosmos-db-rarr-technologies-pune-3-to-10-years-270225502194
Jr Dot Net Software Developer,Educe Solutions Pvt Ltd,1-2 Yrs,Not disclosed,Pune,"Jr. .NET Software Developer, Software, Development, Software development, .Net, Jrss, DoT",https://www.naukri.com/job-listings-jr-dot-net-software-developer-educe-solutions-pvt-ltd-pune-1-to-2-years-200624501765
Backend Developer - Dot Net / SWIFT Payment Integration,Oneture Technologies,1-3 Yrs,Not disclosed,Pune,"System architecture, ISO, Postgresql, System integration, Integration testing, Agile, Data structures, Financial services",https://www.naukri.com/job-listings-backend-developer-dot-net-swift-integration-oneture-technologies-private-limited-pune-1-to-3-years-181024501793
Dot Net Developer,Kh Skill Academy,2-7 Yrs,Not disclosed,Pune,"Coding, Database design, Debugging, Javascript, HTML, MVC, ASP, SQL",https://www.naukri.com/job-listings-dot-net-developer-kh-skill-academy-pune-2-to-7-years-201022502400
Dot Net Developer,IB Services &amp;amp; Technologies,2-4 Yrs,Not disclosed,Pune,"Software design, GIT, ADO.Net, Entity framework, ASP.Net, MVC, SOAP, Project life cycle",https://www.naukri.com/job-listings-dot-net-developer-ib-services-amp-amp-technologies-pune-2-to-4-years-210622501422
